x1;y1;z1;x2;y2;z2;s;t
0;0;0;10;0;0;3,000000;1;2
0;0;0;0;10;0;3,000000;1;5
0;0;0;10;10;0;3,000000;1;6
0;0;0;0;0;10;3,000000;1;17
0;0;0;10;0;10;3,000000;1;18
0;0;0;0;10;10;3,000000;1;21
0;0;0;10;10;10;3,000000;1;22
10;0;0;20;0;0;3,000000;2;3
10;0;0;0;10;0;3,000000;2;5
10;0;0;10;10;0;3,000000;2;6
10;0;0;20;10;0;3,000000;2;7
10;0;0;0;0;10;3,000000;2;17
10;0;0;10;0;10;3,000000;2;18
10;0;0;20;0;10;3,000000;2;19
10;0;0;0;10;10;3,000000;2;21
10;0;0;10;10;10;3,000000;2;22
10;0;0;20;10;10;3,000000;2;23
20;0;0;30;0;0;3,000000;3;4
20;0;0;10;10;0;3,000000;3;6
20;0;0;20;10;0;3,000000;3;7
20;0;0;30;10;0;3,000000;3;8
20;0;0;10;0;10;3,000000;3;18
20;0;0;20;0;10;3,000000;3;19
20;0;0;30;0;10;3,000000;3;20
20;0;0;10;10;10;3,000000;3;22
20;0;0;20;10;10;3,000000;3;23
20;0;0;30;10;10;3,000000;3;24
30;0;0;20;10;0;3,000000;4;7
30;0;0;30;10;0;3,000000;4;8
30;0;0;20;0;10;3,000000;4;19
30;0;0;30;0;10;3,000000;4;20
30;0;0;20;10;10;3,000000;4;23
30;0;0;30;10;10;3,000000;4;24
0;10;0;10;10;0;3,000000;5;6
0;10;0;0;20;0;3,000000;5;9
0;10;0;10;20;0;3,000000;5;10
0;10;0;0;0;10;3,000000;5;17
0;10;0;10;0;10;3,000000;5;18
0;10;0;0;10;10;3,000000;5;21
0;10;0;10;10;10;3,000000;5;22
0;10;0;0;20;10;3,000000;5;25
0;10;0;10;20;10;3,000000;5;26
10;10;0;20;10;0;3,000000;6;7
10;10;0;0;20;0;3,000000;6;9
10;10;0;10;20;0;3,000000;6;10
10;10;0;20;20;0;3,000000;6;11
10;10;0;0;0;10;3,000000;6;17
10;10;0;10;0;10;3,000000;6;18
10;10;0;20;0;10;3,000000;6;19
10;10;0;0;10;10;3,000000;6;21
10;10;0;10;10;10;3,000000;6;22
10;10;0;20;10;10;3,000000;6;23
10;10;0;0;20;10;3,000000;6;25
10;10;0;10;20;10;3,000000;6;26
10;10;0;20;20;10;3,000000;6;27
20;10;0;30;10;0;3,000000;7;8
20;10;0;10;20;0;3,000000;7;10
20;10;0;20;20;0;3,000000;7;11
20;10;0;30;20;0;3,000000;7;12
20;10;0;10;0;10;3,000000;7;18
20;10;0;20;0;10;3,000000;7;19
20;10;0;30;0;10;3,000000;7;20
20;10;0;10;10;10;3,000000;7;22
20;10;0;20;10;10;3,000000;7;23
20;10;0;30;10;10;3,000000;7;24
20;10;0;10;20;10;3,000000;7;26
20;10;0;20;20;10;3,000000;7;27
20;10;0;30;20;10;3,000000;7;28
30;10;0;20;20;0;3,000000;8;11
30;10;0;30;20;0;3,000000;8;12
30;10;0;20;0;10;3,000000;8;19
30;10;0;30;0;10;3,000000;8;20
30;10;0;20;10;10;3,000000;8;23
30;10;0;30;10;10;3,000000;8;24
30;10;0;20;20;10;3,000000;8;27
30;10;0;30;20;10;3,000000;8;28
0;20;0;10;20;0;3,000000;9;10
0;20;0;0;30;0;3,000000;9;13
0;20;0;10;30;0;3,000000;9;14
0;20;0;0;10;10;3,000000;9;21
0;20;0;10;10;10;3,000000;9;22
0;20;0;0;20;10;3,000000;9;25
0;20;0;10;20;10;3,000000;9;26
0;20;0;0;30;10;3,000000;9;29
0;20;0;10;30;10;3,000000;9;30
10;20;0;20;20;0;3,000000;10;11
10;20;0;0;30;0;3,000000;10;13
10;20;0;10;30;0;3,000000;10;14
10;20;0;20;30;0;3,000000;10;15
10;20;0;0;10;10;3,000000;10;21
10;20;0;10;10;10;3,000000;10;22
10;20;0;20;10;10;3,000000;10;23
10;20;0;0;20;10;3,000000;10;25
10;20;0;10;20;10;3,000000;10;26
10;20;0;20;20;10;3,000000;10;27
10;20;0;0;30;10;3,000000;10;29
10;20;0;10;30;10;3,000000;10;30
10;20;0;20;30;10;3,000000;10;31
20;20;0;30;20;0;3,000000;11;12
20;20;0;10;30;0;3,000000;11;14
20;20;0;20;30;0;3,000000;11;15
20;20;0;30;30;0;3,000000;11;16
20;20;0;10;10;10;3,000000;11;22
20;20;0;20;10;10;3,000000;11;23
20;20;0;30;10;10;3,000000;11;24
20;20;0;10;20;10;3,000000;11;26
20;20;0;20;20;10;3,000000;11;27
20;20;0;30;20;10;3,000000;11;28
20;20;0;10;30;10;3,000000;11;30
20;20;0;20;30;10;3,000000;11;31
20;20;0;30;30;10;3,000000;11;32
30;20;0;20;30;0;3,000000;12;15
30;20;0;30;30;0;3,000000;12;16
30;20;0;20;10;10;3,000000;12;23
30;20;0;30;10;10;3,000000;12;24
30;20;0;20;20;10;3,000000;12;27
30;20;0;30;20;10;3,000000;12;28
30;20;0;20;30;10;3,000000;12;31
30;20;0;30;30;10;3,000000;12;32
0;30;0;10;30;0;3,000000;13;14
0;30;0;0;20;10;3,000000;13;25
0;30;0;10;20;10;3,000000;13;26
0;30;0;0;30;10;3,000000;13;29
0;30;0;10;30;10;3,000000;13;30
10;30;0;20;30;0;3,000000;14;15
10;30;0;0;20;10;3,000000;14;25
10;30;0;10;20;10;3,000000;14;26
10;30;0;20;20;10;3,000000;14;27
10;30;0;0;30;10;3,000000;14;29
10;30;0;10;30;10;3,000000;14;30
10;30;0;20;30;10;3,000000;14;31
20;30;0;30;30;0;3,000000;15;16
20;30;0;10;20;10;3,000000;15;26
20;30;0;20;20;10;3,000000;15;27
20;30;0;30;20;10;3,000000;15;28
20;30;0;10;30;10;3,000000;15;30
20;30;0;20;30;10;3,000000;15;31
20;30;0;30;30;10;3,000000;15;32
30;30;0;20;20;10;3,000000;16;27
30;30;0;30;20;10;3,000000;16;28
30;30;0;20;30;10;3,000000;16;31
30;30;0;30;30;10;3,000000;16;32
0;0;10;10;0;10;3,000000;17;18
0;0;10;0;10;10;3,000000;17;21
0;0;10;10;10;10;3,000000;17;22
0;0;10;0;0;20;3,000000;17;33
0;0;10;10;0;20;3,000000;17;34
0;0;10;0;10;20;3,000000;17;37
0;0;10;10;10;20;3,000000;17;38
10;0;10;20;0;10;3,000000;18;19
10;0;10;0;10;10;3,000000;18;21
