x1;y1;z1;x2;y2;z2;s;t
0;0;0;10;0;0;3,000000;1;2
0;0;0;0;10;0;3,000000;1;5
0;0;0;10;10;0;3,000000;1;6
0;0;0;0;0;10;3,000000;1;21
0;0;0;10;0;10;3,000000;1;22
0;0;0;0;10;10;3,000000;1;25
0;0;0;10;10;10;3,000000;1;26
10;0;0;20;0;0;3,000000;2;3
10;0;0;0;10;0;3,000000;2;5
10;0;0;10;10;0;3,000000;2;6
10;0;0;20;10;0;3,000000;2;7
10;0;0;0;0;10;3,000000;2;21
10;0;0;10;0;10;3,000000;2;22
10;0;0;20;0;10;3,000000;2;23
10;0;0;0;10;10;3,000000;2;25
10;0;0;10;10;10;3,000000;2;26
10;0;0;20;10;10;3,000000;2;27
20;0;0;30;0;0;3,000000;3;4
20;0;0;10;10;0;3,000000;3;6
20;0;0;20;10;0;3,000000;3;7
20;0;0;30;10;0;3,000000;3;8
20;0;0;10;0;10;3,000000;3;22
20;0;0;20;0;10;3,000000;3;23
20;0;0;30;0;10;3,000000;3;24
20;0;0;10;10;10;3,000000;3;26
20;0;0;20;10;10;3,000000;3;27
20;0;0;30;10;10;3,000000;3;28
30;0;0;20;10;0;3,000000;4;7
30;0;0;30;10;0;3,000000;4;8
30;0;0;20;0;10;3,000000;4;23
30;0;0;30;0;10;3,000000;4;24
30;0;0;20;10;10;3,000000;4;27
30;0;0;30;10;10;3,000000;4;28
0;10;0;10;10;0;3,000000;5;6
0;10;0;0;20;0;3,000000;5;9
0;10;0;10;20;0;3,000000;5;10
0;10;0;0;0;10;3,000000;5;21
0;10;0;10;0;10;3,000000;5;22
0;10;0;0;10;10;3,000000;5;25
0;10;0;10;10;10;3,000000;5;26
0;10;0;0;20;10;3,000000;5;29
0;10;0;10;20;10;3,000000;5;30
10;10;0;20;10;0;3,000000;6;7
10;10;0;0;20;0;3,000000;6;9
10;10;0;10;20;0;3,000000;6;10
10;10;0;0;0;10;3,000000;6;21
10;10;0;10;0;10;3,000000;6;22
10;10;0;20;0;10;3,000000;6;23
10;10;0;0;10;10;3,000000;6;25
10;10;0;10;10;10;3,000000;6;26
10;10;0;20;10;10;3,000000;6;27
10;10;0;0;20;10;3,000000;6;29
10;10;0;10;20;10;3,000000;6;30
20;10;0;30;10;0;3,000000;7;8
20;10;0;10;0;10;3,000000;7;22
20;10;0;20;0;10;3,000000;7;23
20;10;0;30;0;10;3,000000;7;24
20;10;0;10;10;10;3,000000;7;26
20;10;0;20;10;10;3,000000;7;27
20;10;0;30;10;10;3,000000;7;28
30;10;0;20;0;10;3,000000;8;23
30;10;0;30;0;10;3,000000;8;24
30;10;0;20;10;10;3,000000;8;27
30;10;0;30;10;10;3,000000;8;28
0;20;0;10;20;0;3,000000;9;10
0;20;0;0;30;0;3,000000;9;13
0;20;0;10;30;0;3,000000;9;14
0;20;0;0;10;10;3,000000;9;25
0;20;0;10;10;10;3,000000;9;26
0;20;0;0;20;10;3,000000;9;29
0;20;0;10;20;10;3,000000;9;30
0;20;0;0;30;10;3,000000;9;33
0;20;0;10;30;10;3,000000;9;34
10;20;0;0;30;0;3,000000;10;13
10;20;0;10;30;0;3,000000;10;14
10;20;0;0;10;10;3,000000;10;25
10;20;0;10;10;10;3,000000;10;26
10;20;0;0;20;10;3,000000;10;29
10;20;0;10;20;10;3,000000;10;30
10;20;0;0;30;10;3,000000;10;33
10;20;0;10;30;10;3,000000;10;34
0;30;0;10;30;0;3,000000;13;14
0;30;0;0;40;0;3,000000;13;17
0;30;0;10;40;0;3,000000;13;18
0;30;0;0;20;10;3,000000;13;29
0;30;0;10;20;10;3,000000;13;30
0;30;0;0;30;10;3,000000;13;33
0;30;0;10;30;10;3,000000;13;34
0;30;0;0;40;10;3,000000;13;37
0;30;0;10;40;10;3,000000;13;38
10;30;0;0;40;0;3,000000;14;17
10;30;0;10;40;0;3,000000;14;18
10;30;0;0;20;10;3,000000;14;29
10;30;0;10;20;10;3,000000;14;30
10;30;0;0;30;10;3,000000;14;33
10;30;0;10;30;10;3,000000;14;34
10;30;0;0;40;10;3,000000;14;37
10;30;0;10;40;10;3,000000;14;38
0;40;0;10;40;0;3,000000;17;18
0;40;0;0;30;10;3,000000;17;33
0;40;0;10;30;10;3,000000;17;34
0;40;0;0;40;10;3,000000;17;37
0;40;0;10;40;10;3,000000;17;38
10;40;0;0;30;10;3,000000;18;33
10;40;0;10;30;10;3,000000;18;34
10;40;0;0;40;10;3,000000;18;37
10;40;0;10;40;10;3,000000;18;38
0;0;10;10;0;10;3,000000;21;22
0;0;10;0;10;10;3,000000;21;25
0;0;10;10;10;10;3,000000;21;26
10;0;10;20;0;10;3,000000;22;23
10;0;10;0;10;10;3,000000;22;25
10;0;10;10;10;10;3,000000;22;26
10;0;10;20;10;10;3,000000;22;27
20;0;10;30;0;10;3,000000;23;24
20;0;10;10;10;10;3,000000;23;26
20;0;10;20;10;10;3,000000;23;27
20;0;10;30;10;10;3,000000;23;28
30;0;10;20;10;10;3,000000;24;27
30;0;10;30;10;10;3,000000;24;28
0;10;10;10;10;10;3,000000;25;26
0;10;10;0;20;10;3,000000;25;29
0;10;10;10;20;10;3,000000;25;30
10;10;10;20;10;10;3,000000;26;27
10;10;10;0;20;10;3,000000;26;29
10;10;10;10;20;10;3,000000;26;30
20;10;10;30;10;10;3,000000;27;28
0;20;10;10;20;10;3,000000;29;30
0;20;10;0;30;10;3,000000;29;33
0;20;10;10;30;10;3,000000;29;34
10;20;10;0;30;10;3,000000;30;33
10;20;10;10;30;10;3,000000;30;34
0;30;10;10;30;10;3,000000;33;34
0;30;10;0;40;10;3,000000;33;37
0;30;10;10;40;10;3,000000;33;38
10;30;10;0;40;10;3,000000;34;37
10;30;10;10;40;10;3,000000;34;38
0;40;10;10;40;10;3,000000;37;38
