x1;y1;z1;x2;y2;z2;s;t
0;0;0;10;0;0;1;2
0;0;0;0;10;0;1;4
0;0;0;10;10;0;1;5
0;0;0;0;0;10;1;10
0;0;0;10;0;10;1;11
0;0;0;0;10;10;1;13
0;0;0;10;10;10;1;14
10;0;0;20;0;0;2;3
10;0;0;0;10;0;2;4
10;0;0;10;10;0;2;5
10;0;0;20;10;0;2;6
10;0;0;0;0;10;2;10
10;0;0;10;0;10;2;11
10;0;0;20;0;10;2;12
10;0;0;0;10;10;2;13
10;0;0;10;10;10;2;14
10;0;0;20;10;10;2;15
20;0;0;10;10;0;3;5
20;0;0;20;10;0;3;6
20;0;0;10;0;10;3;11
20;0;0;20;0;10;3;12
20;0;0;10;10;10;3;14
20;0;0;20;10;10;3;15
0;10;0;10;10;0;4;5
0;10;0;0;20;0;4;7
0;10;0;10;20;0;4;8
0;10;0;0;0;10;4;10
0;10;0;10;0;10;4;11
0;10;0;0;10;10;4;13
0;10;0;10;10;10;4;14
0;10;0;0;20;10;4;16
0;10;0;10;20;10;4;17
10;10;0;20;10;0;5;6
10;10;0;0;20;0;5;7
10;10;0;10;20;0;5;8
10;10;0;20;20;0;5;9
10;10;0;0;0;10;5;10
10;10;0;10;0;10;5;11
10;10;0;20;0;10;5;12
10;10;0;0;10;10;5;13
10;10;0;10;10;10;5;14
10;10;0;20;10;10;5;15
10;10;0;0;20;10;5;16
10;10;0;10;20;10;5;17
10;10;0;20;20;10;5;18
20;10;0;10;20;0;6;8
20;10;0;20;20;0;6;9
20;10;0;10;0;10;6;11
20;10;0;20;0;10;6;12
20;10;0;10;10;10;6;14
20;10;0;20;10;10;6;15
20;10;0;10;20;10;6;17
20;10;0;20;20;10;6;18
0;20;0;10;20;0;7;8
0;20;0;0;10;10;7;13
0;20;0;10;10;10;7;14
0;20;0;0;20;10;7;16
0;20;0;10;20;10;7;17
10;20;0;20;20;0;8;9
10;20;0;0;10;10;8;13
10;20;0;10;10;10;8;14
10;20;0;20;10;10;8;15
10;20;0;0;20;10;8;16
10;20;0;10;20;10;8;17
10;20;0;20;20;10;8;18
20;20;0;10;10;10;9;14
20;20;0;20;10;10;9;15
20;20;0;10;20;10;9;17
20;20;0;20;20;10;9;18
0;0;10;10;0;10;10;11
0;0;10;0;10;10;10;13
0;0;10;10;10;10;10;14
0;0;10;0;0;20;10;19
0;0;10;10;0;20;10;20
0;0;10;0;10;20;10;22
0;0;10;10;10;20;10;23
10;0;10;20;0;10;11;12
10;0;10;0;10;10;11;13
10;0;10;10;10;10;11;14
10;0;10;20;10;10;11;15
10;0;10;0;0;20;11;19
10;0;10;10;0;20;11;20
10;0;10;20;0;20;11;21
10;0;10;0;10;20;11;22
10;0;10;10;10;20;11;23
10;0;10;20;10;20;11;24
20;0;10;10;10;10;12;14
20;0;10;20;10;10;12;15
20;0;10;10;0;20;12;20
20;0;10;20;0;20;12;21
20;0;10;10;10;20;12;23
20;0;10;20;10;20;12;24
0;10;10;10;10;10;13;14
0;10;10;0;20;10;13;16
0;10;10;10;20;10;13;17
0;10;10;0;0;20;13;19
0;10;10;10;0;20;13;20
0;10;10;0;10;20;13;22
0;10;10;10;10;20;13;23
0;10;10;0;20;20;13;25
0;10;10;10;20;20;13;26
10;10;10;20;10;10;14;15
10;10;10;0;20;10;14;16
10;10;10;10;20;10;14;17
10;10;10;20;20;10;14;18
10;10;10;0;0;20;14;19
10;10;10;10;0;20;14;20
10;10;10;20;0;20;14;21
10;10;10;0;10;20;14;22
10;10;10;10;10;20;14;23
10;10;10;20;10;20;14;24
10;10;10;0;20;20;14;25
10;10;10;10;20;20;14;26
10;10;10;20;20;20;14;27
20;10;10;10;20;10;15;17
20;10;10;20;20;10;15;18
20;10;10;10;0;20;15;20
20;10;10;20;0;20;15;21
20;10;10;10;10;20;15;23
20;10;10;20;10;20;15;24
20;10;10;10;20;20;15;26
20;10;10;20;20;20;15;27
0;20;10;10;20;10;16;17
0;20;10;0;10;20;16;22
0;20;10;10;10;20;16;23
0;20;10;0;20;20;16;25
0;20;10;10;20;20;16;26
10;20;10;20;20;10;17;18
10;20;10;0;10;20;17;22
10;20;10;10;10;20;17;23
10;20;10;20;10;20;17;24
10;20;10;0;20;20;17;25
10;20;10;10;20;20;17;26
10;20;10;20;20;20;17;27
20;20;10;10;10;20;18;23
20;20;10;20;10;20;18;24
20;20;10;10;20;20;18;26
20;20;10;20;20;20;18;27
0;0;20;10;0;20;19;20
0;0;20;0;10;20;19;22
0;0;20;10;10;20;19;23
10;0;20;20;0;20;20;21
10;0;20;0;10;20;20;22
10;0;20;10;10;20;20;23
10;0;20;20;10;20;20;24
20;0;20;10;10;20;21;23
20;0;20;20;10;20;21;24
0;10;20;10;10;20;22;23
0;10;20;0;20;20;22;25
0;10;20;10;20;20;22;26
10;10;20;20;10;20;23;24
10;10;20;0;20;20;23;25
10;10;20;10;20;20;23;26
10;10;20;20;20;20;23;27
20;10;20;10;20;20;24;26
20;10;20;20;20;20;24;27
0;20;20;10;20;20;25;26
10;20;20;20;20;20;26;27
