x1;y1;z1;x2;y2;z2;s;t
0;0;0;10;0;0;1;2
0;0;0;20;0;0;1;3
0;0;0;30;0;0;1;4
0;0;0;40;0;0;1;5
0;0;0;0;10;0;1;6
0;0;0;10;10;0;1;7
0;0;0;20;10;0;1;8
0;0;0;30;10;0;1;9
0;0;0;40;10;0;1;10
0;0;0;0;20;0;1;11
0;0;0;10;20;0;1;12
0;0;0;20;20;0;1;13
0;0;0;30;20;0;1;14
0;0;0;40;20;0;1;15
10;0;0;20;0;0;2;3
10;0;0;30;0;0;2;4
10;0;0;40;0;0;2;5
10;0;0;0;10;0;2;6
10;0;0;10;10;0;2;7
10;0;0;20;10;0;2;8
10;0;0;30;10;0;2;9
10;0;0;40;10;0;2;10
10;0;0;0;20;0;2;11
10;0;0;10;20;0;2;12
10;0;0;20;20;0;2;13
10;0;0;30;20;0;2;14
10;0;0;40;20;0;2;15
20;0;0;30;0;0;3;4
20;0;0;40;0;0;3;5
20;0;0;0;10;0;3;6
20;0;0;10;10;0;3;7
20;0;0;20;10;0;3;8
20;0;0;30;10;0;3;9
20;0;0;40;10;0;3;10
20;0;0;0;20;0;3;11
20;0;0;10;20;0;3;12
20;0;0;20;20;0;3;13
20;0;0;30;20;0;3;14
20;0;0;40;20;0;3;15
30;0;0;40;0;0;4;5
30;0;0;0;10;0;4;6
30;0;0;10;10;0;4;7
30;0;0;20;10;0;4;8
30;0;0;30;10;0;4;9
30;0;0;40;10;0;4;10
30;0;0;0;20;0;4;11
30;0;0;10;20;0;4;12
30;0;0;20;20;0;4;13
30;0;0;30;20;0;4;14
30;0;0;40;20;0;4;15
40;0;0;0;10;0;5;6
40;0;0;10;10;0;5;7
40;0;0;20;10;0;5;8
40;0;0;30;10;0;5;9
40;0;0;40;10;0;5;10
40;0;0;0;20;0;5;11
40;0;0;10;20;0;5;12
40;0;0;20;20;0;5;13
40;0;0;30;20;0;5;14
40;0;0;40;20;0;5;15
0;10;0;10;10;0;6;7
0;10;0;20;10;0;6;8
0;10;0;30;10;0;6;9
0;10;0;40;10;0;6;10
0;10;0;0;20;0;6;11
0;10;0;10;20;0;6;12
0;10;0;20;20;0;6;13
0;10;0;30;20;0;6;14
0;10;0;40;20;0;6;15
10;10;0;20;10;0;7;8
10;10;0;30;10;0;7;9
10;10;0;40;10;0;7;10
10;10;0;0;20;0;7;11
10;10;0;10;20;0;7;12
10;10;0;20;20;0;7;13
10;10;0;30;20;0;7;14
10;10;0;40;20;0;7;15
20;10;0;30;10;0;8;9
20;10;0;40;10;0;8;10
20;10;0;0;20;0;8;11
20;10;0;10;20;0;8;12
20;10;0;20;20;0;8;13
20;10;0;30;20;0;8;14
20;10;0;40;20;0;8;15
30;10;0;40;10;0;9;10
30;10;0;0;20;0;9;11
30;10;0;10;20;0;9;12
30;10;0;20;20;0;9;13
30;10;0;30;20;0;9;14
30;10;0;40;20;0;9;15
40;10;0;0;20;0;10;11
40;10;0;10;20;0;10;12
40;10;0;20;20;0;10;13
40;10;0;30;20;0;10;14
40;10;0;40;20;0;10;15
0;20;0;10;20;0;11;12
0;20;0;20;20;0;11;13
0;20;0;30;20;0;11;14
0;20;0;40;20;0;11;15
10;20;0;20;20;0;12;13
10;20;0;30;20;0;12;14
10;20;0;40;20;0;12;15
20;20;0;30;20;0;13;14
20;20;0;40;20;0;13;15
30;20;0;40;20;0;14;15
