x1;y1;z1;x2;y2;z2;s;t;
30;0;0;60;0;0;2;3;
30;0;0;0;30;0;2;6;
30;0;0;30;20;0;2;7;
30;0;0;30;0;20.30;2;37;
30;0;0;10;10;10;2;106;
30;0;0;30;10;10;2;107;
60;0;0;90;0;0;3;4;
60;0;0;30;20;0;3;7;
60;0;0;60;20;0;3;8;
60;0;0;30;0;20.30;3;37;
60;0;0;60;0;20.30;3;38;
60;0;0;30;10;10;3;107;
60;0;0;50;10;10;3;108;
90;0;0;112.16;8.70;0;4;5;
90;0;0;60;20;0;4;8;
90;0;0;90;20;0;4;9;
90;0;0;60;0;20.30;4;38;
90;0;0;90;0;20.30;4;39;
90;0;0;50;10;10;4;108;
90;0;0;70;10;10;4;109;
112.16;8.70;0;90;20;0;5;9;
112.16;8.70;0;90;0;20.30;5;39;
112.16;8.70;0;112.16;8.70;20.30;5;40;
112.16;8.70;0;70;10;10;5;109;
0;30;0;30;20;0;6;7;
0;30;0;0;40;0;6;11;
0;30;0;0;30;20.30;6;41;
0;30;0;10;10;10;6;106;
0;30;0;10;30;10;6;110;
30;20;0;60;20;0;7;8;
30;20;0;0;40;0;7;11;
30;20;0;30;40;0;7;12;
30;20;0;30;0;20.30;7;37;
30;20;0;0;30;20.30;7;41;
30;20;0;30;20;20.30;7;42;
30;20;0;10;10;10;7;106;
30;20;0;30;10;10;7;107;
30;20;0;10;30;10;7;110;
30;20;0;30;30;10;7;111;
60;20;0;90;20;0;8;9;
60;20;0;30;40;0;8;12;
60;20;0;60;40;0;8;13;
60;20;0;60;0;20.30;8;38;
60;20;0;30;20;20.30;8;42;
60;20;0;60;20;20.30;8;43;
60;20;0;30;10;10;8;107;
60;20;0;50;10;10;8;108;
60;20;0;30;30;10;8;111;
60;20;0;50;30;10;8;112;
90;20;0;60;40;0;9;13;
90;20;0;90;40;0;9;14;
90;20;0;107;34.88;0;9;15;
90;20;0;90;0;20.30;9;39;
90;20;0;60;20;20.30;9;43;
90;20;0;90;20;20.30;9;44;
90;20;0;50;10;10;9;108;
90;20;0;70;10;10;9;109;
90;20;0;50;30;10;9;112;
90;20;0;70;30;10;9;113;
0;40;0;30;40;0;11;12;
0;40;0;0;60;0;11;16;
0;40;0;0;30;20.30;11;41;
0;40;0;0;40;20.30;11;46;
0;40;0;10;30;10;11;110;
0;40;0;10;50;10;11;114;
30;40;0;60;40;0;12;13;
30;40;0;0;60;0;12;16;
30;40;0;30;60;0;12;17;
30;40;0;30;20;20.30;12;42;
30;40;0;0;40;20.30;12;46;
30;40;0;30;40;20.30;12;47;
30;40;0;10;30;10;12;110;
30;40;0;30;30;10;12;111;
30;40;0;10;50;10;12;114;
30;40;0;30;50;10;12;115;
60;40;0;90;40;0;13;14;
60;40;0;30;60;0;13;17;
60;40;0;60;60;0;13;18;
60;40;0;100.30;50.96;0;13;19;
60;40;0;60;20;20.30;13;43;
60;40;0;30;40;20.30;13;47;
